id,smiles
CHEMBL3194093,O=C(Nc1ccccc1C(=O)N/N=C/c1ccc(O)cc1)c1ccccc1
CHEMBL1480056,CSc1nc2sc(-c3ccccc3)cc2c(=O)n1N
CHEMBL3190132,O=C(Nc1ccccc1C(=O)N/N=C/c1ccco1)c1ccc(Cl)cc1
CHEMBL92816,CN(C)c1ccc(-c2nc3ccccc3s2)cc1
CHEMBL264931,C[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
CHEMBL1594867,O=C(/C=C\Nc1ccccn1)c1ccccc1
CHEMBL1313891,CN(C)c1ccc(N/C=C/C(=O)c2ccco2)cc1
CHEMBL1492738,CCOc1ccc(-c2nnc(-c3ccco3)o2)cc1
CHEMBL1516729,C=CCn1c(C)cc(C(=O)CSc2nc3ccccc3[nH]2)c1C
CHEMBL210730,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1
CHEMBL1384654,O=C(Nc1nc2c(s1)CCCC2)C1COc2ccccc2O1
CHEMBL1304398,O=C(Nc1ccc(N2CCCC2)c(Cl)c1)c1ccco1
CHEMBL1480522,O=C(CCCc1ccccc1)c1ccc2c(c1)OCCO2
CHEMBL1527447,CCOC(=O)/C(=C\c1ccccc1)C(=O)c1cc(C(C)=O)c(Nc2ccccc2)s1
CHEMBL547833,Oc1ccc(Nc2nc(N3CCCC3)c3ccccc3n2)cc1
CHEMBL1450119,Cc1cc(C(=O)Nc2cccc(C(=O)O)c2)oc1C
CHEMBL1518946,COC(=O)c1ccc(-c2nc3cc(N)ccc3o2)cc1
CHEMBL1382028,COc1ccc(C(=O)Nc2ccc3c(c2)OCCO3)cc1
CHEMBL1568558,CC(C)C(=O)Nc1ccc(-c2nc3cccnc3o2)cc1
CHEMBL1565774,COc1cccc(C(=O)NCCC2=CCCCC2)c1
CHEMBL1301573,Nc1ccc(-c2nc3c(Cl)cc(N)cc3[nH]2)cc1
CHEMBL1486922,CC1CCc2nc(NC(=O)C3CCCO3)sc2C1
CHEMBL1438451,CCCc1cc(C(=O)Nc2nccs2)cs1
CHEMBL1403048,O=c1c2sc(-c3ccccc3)cc2nc2n1CCC2
CHEMBL1345388,C=CCNc1nc(-c2ccccn2)nnc1-c1ccccc1
CHEMBL1526910,CC1CC(C)(C)Nc2ccc(OC(=O)c3ccco3)cc21
CHEMBL1904348,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1ccc(C)cc1C
CHEMBL1452967,Cc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1S(=O)(=O)N1CCCCC1
CHEMBL1564077,CCOC(=O)CNC(=O)CSc1ncnc2c1cnn2-c1ccc(C)cc1
CHEMBL1429929,CCOC(=O)CCS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1
CHEMBL1327079,Cc1ccc(SCc2cn3c(C)csc3n2)cc1
CHEMBL1445486,COc1ccc(-n2ncc3c(NC(C)C)ncnc23)cc1
CHEMBL1309232,COc1ccc(NC(=O)/C(Cl)=C(/Cl)S(=O)(=O)Cc2ccc(C)cc2)cn1
CHEMBL1464941,COc1ccc(C(=O)Nn2c(SCC(=O)N3CCC(C)CC3)nc3ccccc3c2=O)cc1
CHEMBL1545542,Cc1cc(N2CCOCC2)n2ncc(-c3ccccc3)c2n1
CHEMBL1544823,O=C(CCCOc1ccccc1)N1CCCCC1
