InChI_Key,set,smiles,molecule_chembl_id,molwt,scf,id,ina_dir
IFUPXVHNFNNTBO-VLFFTXJOSA-N,PubChem,C/C=C(/C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)[C@H]2CCC(=O)N2)C3)c1,CHEMBL1427562,453.4990000000002,CCC(C)C(C)CC1CCCC(C2CCC3(C2)CC(C(C)C)C(C(C)C2CCC(C)C2)C3)C1,DCM-71020,/tmp/temp/ina_vdni7tn2
QIOYKOBCTCWPBH-UHFFFAOYSA-N,PubChem,Cc1ccc(S(=O)(=O)N2CCOC2CNC(=O)C(=O)NCCCN2CCOCC2)cc1,CHEMBL1886657,454.5490000000003,CC1CCC(C(C)(C)C2CCCC2CCC(C)C(C)CCCCC2CCCCC2)CC1,DCM-31894,/tmp/temp/ina_vdni7tn2
OCHQIXWIGCISFH-UHFFFAOYSA-N,PubChem,O=[N+]([O-])c1cn(Cc2ccccc2)cn1,CHEMBL1485400,203.201,CC(C)C1CCC(CC2CCCCC2)C1,DCM-49777,/tmp/temp/ina_vdni7tn2
AJWMKLWNNYDADX-UHFFFAOYSA-N,PubChem,Cc1cccc(NC(=S)NCC2CCCO2)c1,CHEMBL1582893,250.367,CC1CCCC(CC(C)CCC2CCCC2)C1,DCM-28530,/tmp/temp/ina_vdni7tn2
XSGZCEBBNAFBKB-UHFFFAOYSA-N,PubChem,COC(=O)c1ccc2[nH]c(CO)c(-c3ccccc3)c2c1,CHEMBL1562140,281.311,CCC(C)C1CCC2CC(CC)C(C3CCCCC3)C2C1,DCM-32582,/tmp/temp/ina_vdni7tn2
DZDKJIRUSJXCKT-PNCHPQGNSA-N,PubChem,COc1ccc(NC(=O)N(C)C[C@@H]2OCc3cn(nn3)CCCC(=O)N([C@H](C)CO)C[C@H]2C)c(OC)c1,CHEMBL2139336,518.6150000000004,CCC1CCC(CC(C)C(C)CC2CCC3CCC(CCCC(C)C(C(C)CC)CC2C)C3)C(CC)C1,DCM-80414,/tmp/temp/ina_vdni7tn2
DSAUYLNVWNYOPW-UHFFFAOYSA-N,PubChem,CC1(C)CC(=O)C(=CNCCCn2ccnc2)C(=O)C1,not found,275.35200000000003,CC1CC(C)(C)CC(C)C1CCCCCC1CCCC1,DCM-106801,/tmp/temp/ina_vdni7tn2
WMEPUTKYSBZXIA-UHFFFAOYSA-N,PubChem,COc1ccc(-c2csc(NC(C)c3nc4cc(Cl)c(N5CCCCC5)cc4n3CCOCCO)n2)cc1,CHEMBL1351928,556.1320000000003,CCCCCCC1C(C(C)CC2CCC(C3CCC(CC)CC3)C2)CC2CC(C)C(C3CCCCC3)CC21,DCM-63587,/tmp/temp/ina_vdni7tn2
JYHQBLRWDGUFLD-UHFFFAOYSA-N,PubChem,Cc1c(NC(=O)CCC(=O)N2CCOCC2)c(=O)n(-c2ccccc2)n1C,CHEMBL1384688,372.42500000000007,CC(CCC(C)C1CCCCC1)CC1C(C)C(C)C(C2CCCCC2)C1C,DCM-3419,/tmp/temp/ina_vdni7tn2
BOQUWFSGOSMJFT-UHFFFAOYSA-N,PubChem,CCC(=O)c1ccc(OCC(=O)NCCc2ccccn2)cc1,CHEMBL1401287,312.3690000000001,CCC(C)C1CCC(CCC(C)CCCC2CCCCC2)CC1,DCM-83080,/tmp/temp/ina_vdni7tn2
